,PrivCo_ID,profile_type,classification,status,PE_Backed,VC_Backed,year_founded,City,State,Country,Zip,Industry_PICS,Keywords,sic,naics,Company_Tags,fiscal_month,fiscal_day,Total_Round,index_total_funding,Latest_Valuation,Latest_Valuation_Year,1 Year Revenue Growth,3 Year Revenue Growth,1 Year Employee Growth,3 Year Employee Growth,2024 Revenue,2023 Revenue,2022 Revenue,2021 Revenue,2020 Revenue,2019 Revenue,2018 Revenue,2017 Revenue,2024 Employees,2023 Employees,2022 Employees,2021 Employees,2020 Employees,2019 Employees,2018 Employees,2017 Employees,2023 EBITDA,2022 EBITDA,2021 EBITDA,2020 EBITDA,2019 EBITDA,2018 EBITDA,2017 EBITDA,2023 EV,2022 EV,2021 EV,2020 EV,2019 EV,2018 EV,2017 EV,2023 Net Income,2022 Net Income,2021 Net Income,2020 Net Income,2019 Net Income,2018 Net Income,2017 Net Income
1,4656,Company,Public,Active,No,No,2020,Minnetonka,MN,US,55343,Semiconductors & Semiconductor Equipment,Information Technology|Renewable Energy|Solar|Technology Services,36|366|3577|3661|4899|5199|7359,221114,,12,31,0,,,,-16.3635,-18.5351,-26.1084,7.8983,,,27522000,,42576000,50906000,,,,,255,,150,203,,,,-7000000,,-2000000,1000000,,,,,,,,,,,-27216000,,-172000,6469000,,
2,42154,Company,Private,Active,No,No,2017,Cedar Rapids,IA,US,52401,Publishing,Newspapers|Publishing,27|48|60|61|2711|5192|6153|6282,511110,,12,31,0,,34000000,2023,1.25,-13.6946,-39.4286,-19.0733,,40500000,40000000,39000000,63000000,74500000,70000000,65500000,,,,212,350,420,400,380,3600000,3950000,4150000,6050000,8750000,7400000,6600000,34000000,30500000,40000000,55000000,76000000,63500000,56000000,2550000,2800000,2900000,,,,
3,45384,Company,Private,Active,No,Yes,2017,Seattle,WA,US,98121,Professional Services,Consulting|Legal|Professional Services,6770,,VC Backed,12,31,3,18800000,60000000,2020,12.8652,,13.5417,63.3662,,,7980000,7070384,,,,,,,218,192,,50,,,,,,,,,,,,,,,,,,,,,,,
4,47579,Company,Private,Active,No,No,2018,Houston,TX,US,77057,Consumer Products Distributors,Asian-Led|Consumer Products|Cryptocurrency|Distribution|Fintech|Holding Company|Insurtech|Mergers & Acquisitions|Software Development,3944|5092|5199,,,12,31,0,,6850000,2023,10.6061,,,,,7300000,6600000,,,,,,,,20,,,,,,562500,565000,,,,,,6850000,5650000,,,,,,395000,395000,,,,,
5,268903,Company,Private,Active,No,Yes,2017,Mountain View,CA,US,94041,Software & Internet Services,Analytics|Artificial Intelligence|Big Data|Cloud|Enterprise Software|Internet of Things|No Code|Predictive Analytics|Quantum Computing|SaaS|Technology,7372,,VC Backed,12,31,8,173656500,535000000,2019,11.1111,11.0604,2.9412,4.5801,,50000000,45000000,38500000,36500000,34500000,31000000,,,,,175,170,165,153,,,,,,,,,,,,,,,,,,,,,,
6,272088,Company,Private,Active,No,No,2018,Fernley,NV,US,89408,Building Products,Accessories|Asphalt|Building Products|Concrete|Flooring|Manufacturing|Paving|Roofing|Tile|Windows & Doors,17|26|39,,Acquired|Subsidiary,12,31,0,,38217500,2020,16.3265,12.5309,13.0435,9.1393,,,,,28500000,24500000,22500000,20000000,,,,,130,115,110,100,,,,2950000,3100000,2550000,2150000,,,,38217500,38215000,31268000,26133000,,,,,,,
7,273783,Company,Private,Active,No,No,2017,Fort Walton Beach,FL,US,32548,Automotive & Consumer Vehicle Retail,Automotive|Dealership|Parts|Retail|Trucks|Used,59,,,12,31,0,,675000000,2023,5.8468,220.479,1604.5455,132.0794,,1050000000,992000000,949575441,31900000,47100000,45000000,43000000,,,,750,44,65,60,50,55000000,58000000,59000000,1800000,3200000,2750000,2500000,675000000,580000000,715000000,20500000,35500000,30000000,27000000,38500000,40500000,41500000,,,,
8,342034,Company,Private,Active,No,No,2018,Calabasas,CA,US,91302,Automotive & Consumer Vehicle Retail,Accessories|Automotive|Dealership|Parts|Retail,59,,,12,31,0,,105000000,2023,3.7736,6.1374,-33.3333,-10.6096,,165000000,159000000,152000000,138000000,204000000,200000000,195600000,,,,,150,225,220,210,8650000,9300000,9450000,7700000,14000000,12500000,11500000,105000000,93000000,115000000,89500000,155000000,135000000,125000000,6050000,6500000,6600000,,,,
9,347134,Company,Private,Active,No,No,2017,Scottsdale,AZ,US,85258,Software & Internet Services,Cloud|Collaboration|Communications|Enterprise Software|Productivity|SaaS|Technology,7372,511210,Acquired,12,31,5,18490000,45000000,2020,14.6341,18.5631,32,27.2911,,2350000,2050000,1710000,1410000,1050000,840000,672000,,,,,33,25,20,16,,,,,,,,,,,,,,,,,,,,,
10,616283,Company,Private,Active,No,Yes,2020,New York,NY,US,10013,Software & Internet Services,Blockchain|Cryptocurrency|Ethereum|Fintech|NFT|Web3,89|737,,VC Backed,12,31,1,100000000,1500000000,2021,12.6374,7.2874,5.5556,8.1984,,20500000,18200000,17600000,16600000,14900000,14400000,14000000,,,,76,72,65,60,50,,,,,,,,,,,,,,,,,,,,,
11,638982,Company,Private,Active,Yes,No,2020,Birmingham,AL,US,35244,Software & Internet Services,E-Learning|Internet Services|Software|Technology,73,,Acquired|PE Backed,12,31,0,,30000000,2020,12.9032,16.7388,34.6154,12.6248,,17500000,15500000,13300000,11000000,8210000,8000000,7800000,,,,,700,520,505,490,,,,,,,,,,,,,,,,,,,,,
12,1065737,Company,Private,Active,No,Yes,2017,Denver,CO,US,80206,"Oil & Gas Drilling, Exploration & Production",Mergers & Acquisitions|Oil & Gas,,,VC Backed,12,31,1,525000000,1500000000,2016,20.7692,6.4924,-41.9355,,,,157000000,130000000,118000000,130000000,93150000,56500000,,18,31,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1066247,Company,Private,Active,No,Yes,2018,New York,NY,US,10001,Software & Internet Services,Mobile|Sports|Technology,,,VC Backed,12,31,2,3400000,10000000,2017,12.9944,13.7183,5.5556,8.1984,,10000000,8850000,7400000,6800000,6450000,5350000,,,,,38,36,35,30,,,,,,,,,,,,,,,,,,,,,,
14,1070731,Company,Private,Active,No,No,2017,Oklahoma City,OK,US,73172,Commercial & Industrial Engineering,Construction|Engineering,89|8748|8999,,,12,31,0,,27500000,2023,8.2192,9.0015,5.8824,6.2659,,39500000,36500000,33000000,30500000,27500000,25000000,,,,,180,170,160,150,,2300000,2350000,2250000,1900000,2100000,1700000,,27500000,23000000,36000000,28500000,30000000,24000000,,1600000,1650000,1600000,,,,
15,1078762,Company,Private,Active,No,No,2017,Chicago,IL,US,60607,Entertainment,Audio|Broadcasting|Entertainment|Internet|Sports|Television|Video,,,,12,31,0,,160000000,2023,7.2917,7.0334,3.5714,1.1766,,51500000,48000000,44500000,42000000,43000000,40500000,37000000,,,,145,140,145,140,130,5100000,5250000,5200000,4400000,5500000,4700000,4050000,160000000,135000000,165000000,135000000,160000000,135000000,115000000,3550000,3700000,3650000,,,,
16,1084629,Company,Private,Active,No,Yes,2018,Los Angeles,CA,US,90029,Software & Internet Services,Customer Relationship Management (CRM)|Digital Media|Marketing|Social Media|Technology|Women-Founded|Women-led,36|7372,,VC Backed,12,31,1,1000000,3000000,2016,13.4454,14.8986,7.6923,11.8689,,6750000,5950000,4950000,4450000,4150000,3250000,,,,,28,26,25,20,,,,,,,,,,,,,,,,,,,,,,
17,1101440,Company,Private,Active,No,No,2017,Liberty Lake,WA,US,99019,Automotive & Consumer Vehicle Retail,Automotive|Dealership|Retail,,,,12,31,0,,625000000,2022,4.902,-7.683,-33.3333,-37.9377,,,1070000000,1020000000,922000000,1360000000,1340000000,958301082,,,502,,1400,2100,1629,370,,62500000,63500000,51500000,93000000,82500000,56000000,,625000000,770000000,595000000,1000000000,900000000,605000000,,43500000,44500000,,,,
18,1101625,Company,Private,Active,No,No,2017,Herndon,VA,US,20170,Technology Services,Aerospace & Defense|Analytics|Artificial Intelligence|Cloud|Cyber Security|Data Management|Machine Learning|Technology Services|Telecommunications,,,,12,31,0,,420000000,2022,5.4779,8.0712,1.2987,2.704,,90500000,85800000,78900000,71700000,71100000,69000000,67000000,,,,,390,385,375,360,,22000000,21500000,17500000,21500000,18500000,17500000,,420000000,560000000,435000000,500000000,435000000,395000000,,15500000,15000000,,,,
19,1101753,Company,Private,Active,No,No,2019,Vandalia,OH,US,45377,Automotive & Consumer Vehicle Retail,Automotive|Dealership|Retail,59|5012|5013,,,12,31,0,,29000000,2022,6.0606,8.1526,7.8431,-7.7241,,52500000,49500000,46100000,41500000,62000000,57100000,49600000,,,,55,51,75,70,60,,2900000,2850000,2300000,4250000,3500000,2900000,,29000000,35000000,27000000,46500000,38500000,31500000,,2000000,2000000,,,,
20,1102150,Company,Private,Active,Yes,No,2017,Jacksonville,FL,US,32256,Health Care Services,Health Care|Health Care Services,80|8099,,PE Backed,12,31,0,,43000000,2023,4.0541,5.0082,5.1546,4.2604,,77000000,74000000,70500000,66500000,64000000,60000000,,,,,510,485,475,450,,3050000,3000000,3700000,3150000,3700000,3150000,,43000000,35000000,55000000,44500000,50000000,41500000,,2100000,2100000,2600000,,,,
21,1103468,Company,Private,Active,No,Yes,2017,Redwood City,CA,US,94065,Software & Internet Services,Software|Technology,36|7372,,VC Backed,12,31,1,15000000,45000000,2017,13.6364,15.5602,10.2564,12.7498,,12500000,11000000,9200000,8100000,7050000,5900000,,,,,43,39,35,30,,,,,,,,,,,,,,,,,,,,,,
22,1104775,Company,Private,Active,No,No,2018,Pittsburgh,PA,US,15222,Investment Management & Financial Advisory,Advisory|Investment Management|Retirement|Veteran-led,,,,12,31,0,,30000000,2022,-3.9813,31.2709,-2.381,-2.3264,,,16400000,17080000,9600000,7250000,5400000,0,,,41,42,48,44,46,45,,2000000,2200000,1100000,1000000,685000,2150000,,30000000,48500000,23500000,20500000,13500000,42500000,,1400000,1550000,,,,
23,1107375,Company,Private,Active,No,No,2018,Phoenix,AZ,US,85027,Drug & Medical Retail,Cannabis|Retail|Women-led,,,,12,31,0,,9500000,2022,6.1644,10.1433,21.4286,12.3111,,15500000,14600000,13200000,11600000,9520000,9200000,8900000,,,,,85,70,65,60,,645000,620000,490000,495000,430000,395000,,9500000,11500000,8750000,8350000,7200000,6550000,,450000,435000,,,,
24,1109585,Company,Private,Active,No,Yes,2017,Boston,MA,US,2111,Software & Internet Services,Automation|Banking|Finance|Fintech|Loans|Real Time|Software|Technology,36|7372,,VC Backed,12,31,3,32000000,95000000,2019,16.3661,215.7702,9.6296,30.8898,,,55100000,47350549,28000000,1750000,800000,301692,,,148,135,117,66,53,31,,,,,,,,,,,,,,,,,,,,,
25,1109901,Company,Private,Active,No,Yes,2017,Midland,TX,US,79701,"Oil & Gas Drilling, Exploration & Production",Drilling|Exploration|Oil & Gas,49|1381,,VC Backed,12,31,1,600000000,2000000000,2017,16.9154,19.9986,-10,,,47000000,40200000,30000000,27200000,30000000,,,,,,,27,30,,,,,,,,,,,,,,,,,,,,,,,
26,1110259,Company,Private,Active,No,No,2017,San Francisco,CA,US,94111,Passenger Transportation,Consumer Services|Electric Vehicle|Transportation,,,Acquired|Subsidiary,12,31,1,8000000,100000000,2018,8,,,,,135000000,125000000,,,,,,,,720,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1118916,Company,Private,Active,No,No,2017,San Francisco,CA,US,94101,Software & Internet Services,Cyber Security|Risk Management|SaaS|Security|Software|Software Development|Technology,,,Acquired|Formerly VC-Backed|Subsidiary,12,31,5,18250000,55000000,2020,16.4286,39.5336,56.6667,16.9607,,,16300000,14000000,10000000,6000000,3000000,,,,48,,47,30,15,,,,,,,,,,,,,,,,,,,,,,
28,1119103,Company,Private,Active,Yes,Yes,2017,New York,NY,US,11201,Specialty Retail,Apparel|Baby & Children|E-Commerce|Marketplace|Retail|Software|Technology|Women-Founded|Women-led,2711,519130,PE Backed|VC Backed,12,31,3,47700000,150000000,2021,3.3333,52.4466,13.3333,57.2137,,,37200000,36000000,24000000,10500000,9000000,,,,136,120,80,35,30,,,,,,,,,,,,,,,,,,,,,,
29,1119791,Company,Private,Active,Yes,Yes,2017,New York,NY,US,10017,Software & Internet Services,Aerospace & Defense|Cyber Security|Enterprise Software|Network Infrastructure|Software|Technology,,,PE Backed|VC Backed,12,31,5,665500000,2000000000,2023,10,62.083,4.3478,46.7121,,,132000000,120000000,50000000,31000000,30000000,,,,600,575,260,190,180,,,,,,,,,,,,,,,,,,,,,,
30,1119825,Company,Private,Active,No,Yes,2017,Atlanta,GA,US,30303,Real Estate,Black-founded|Black-Led|Property Management|Real Estate|Real Estate Development|Rental|Rental Property,,,VC Backed,12,31,3,330000000,400000000,2017,9.8039,,,,,2800000,2550000,2250000,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,
31,1123669,Company,Private,Active,No,No,2017,Harwood Heights,IL,US,60706,Industrial Products,Industrial|Industrial Products|Manufacturing,,339900,,12,31,0,,28500000,2020,-12.1951,2.9428,-12.9412,1.8696,,,,,18000000,20500000,19000000,16500000,,,,,74,85,80,70,,,,2150000,2900000,2400000,2000000,,,,28500000,37500000,31000000,25500000,,,,,,,
32,1125757,Company,Private,Active,Yes,No,2017,Mooresville,NC,US,28117,Industrial Products,Industrial|Industrial Products|Manufacturing|Packaging|Plastics,,332900,Acquired|PE Backed,12,31,0,,27500000,2022,8.1731,10.0099,-12.9412,-2.5652,,22500000,20800000,18600000,16900000,19400000,19000000,18500000,,,,,740,850,830,800,,2500000,2400000,1950000,2750000,2400000,2250000,,27500000,34000000,26500000,35500000,31000000,28500000,,1750000,1700000,,,,
33,1125897,Company,Private,Active,No,No,2017,Lincoln,NE,US,68501,Commercial & Industrial Engineering,Construction|Engineering|Women-led,,237310,,12,31,0,,64500000,2020,2.9851,4.1933,1.3333,2.7792,,,,,69000000,67000000,63500000,61000000,,,,,380,375,360,350,,,,4300000,5100000,4350000,3950000,,,,64500000,73000000,61500000,55500000,,,,,,,
34,1127369,Company,Private,Active,No,No,2017,Athens,GA,US,30606,Commercial Equipment & Supplies Distributors,Commercial Products|Distribution|Health Care Equipment|Hospital|Wheelchairs,,621111,,12,31,0,,26500000,2023,10.3448,11.6368,7.6923,0,,16000000,14500000,12500000,11500000,13500000,12500000,,,,,70,65,75,70,,1235000,1240000,1140000,810000,1150000,945000,,26500000,22000000,16500000,13000000,18000000,15000000,,865000,870000,670000,,,,
35,1128729,Company,Private,Active,No,No,2017,Oklahoma City,OK,US,73105,Food & Beverage Retail,Alcohol|Food|Gifts|Retail,,453220,,12,31,0,,7750000,2023,9.0909,10.0642,5.2632,7.7217,,18000000,16500000,14500000,13500000,12000000,11000000,9500000,,,,100,95,85,80,70,745000,690500,740000,620000,675000,555000,455000,7750000,5850000,6500000,5200000,5400000,4400000,3600000,520000,485000,520000,,,,
36,1130044,Company,Private,Active,No,No,2018,Reno,NV,US,89502,Automotive & Consumer Vehicle Retail,Automotive|Dealership|Parts|Retail|Used,,441110,,12,31,0,,38500000,2020,-29.1667,-6.3748,-30.6122,-8.2353,,,,,59500000,84000000,77000000,72500000,,,,,170,245,230,220,,,,3350000,5750000,4750000,4250000,,,,38500000,63500000,51500000,46000000,,,,,,,
37,1130505,Company,Private,Active,No,No,2017,Lindsay,CA,US,93247,Agricultural Products,Agricultural|Agricultural Products|Fruit & Vegetables,,115110,,12,31,0,,36500000,2023,2.7778,3.3679,2.381,4.2065,,37000000,36000000,35000000,33500000,31500000,29500000,27500000,,,,215,210,200,190,180,2350000,2200000,2800000,2400000,2750000,2300000,2050000,36500000,28000000,36000000,29500000,32000000,27000000,23500000,1650000,1550000,1950000,,,,
38,1135608,Company,Private,Active,No,No,2017,Huntsville,AL,US,35811,Industrial Products,Industrial Products|Metals,,331420,,12,31,1,1969800,66000000,2023,8.3333,9.664,7.1429,21.0265,,45500000,42000000,37500000,34500000,21500000,20500000,18000000,,,,195,182,115,110,100,4950000,5100000,4850000,4000000,3050000,2600000,2200000,66000000,55500000,69000000,54500000,39500000,33500000,27500000,3450000,3550000,3400000,,,,
39,1136159,Company,Private,Active,No,No,2018,Orange,TX,US,77630,Industrial Machinery,Equipment|Industrial|Machinery|Manufacturing|Packaging,,333200,,12,31,0,,285000000,2023,4.1667,8.4496,8,1.9235,,125000000,120000000,110000000,98000000,105000000,97000000,88000000,,,,540,500,550,510,470,17000000,18000000,17500000,14000000,18500000,15500000,13000000,285000000,250000000,285000000,220000000,275000000,225000000,190000000,12000000,12500000,12500000,,,,
40,1136161,Company,Private,Active,No,No,2017,Dallas,TX,US,75231,Health Care Providers,Health Care|Health Care Services,,621111,,12,31,0,,30500000,2023,11.6883,14.6941,8.3333,6.8165,,43000000,38500000,31000000,28500000,26500000,25000000,23000000,,,,195,180,170,160,150,4955000,4930000,4320000,3575000,4060000,3450000,3015000,30500000,24500000,38000000,30000000,32500000,27000000,23500000,3450000,3450000,3000000,,,,
41,1136336,Company,Private,Active,No,No,2017,Sacramento,CA,US,95838,Packaging & Containers,Manufacturing|Packaging|Signs & Displays,,322200,Subsidiary,12,31,0,,30500000,2023,7.6923,7.2976,2.5974,-0.4184,,21000000,19500000,17500000,17000000,18000000,17000000,14500000,,,,79,77,85,80,70,2600000,2650000,2550000,2200000,2850000,2450000,2000000,30500000,25800000,26000000,21650000,26650000,22450000,18000000,1800000,1850000,1800000,,,,
42,1136536,Company,Private,Active,No,No,2018,Kent,WA,US,98032,Consumer Products,Aluminum|Casting|Manufacturing|Metals,,331524,Acquired,12,31,1,1140700,71500000,2023,5.1282,7.5037,-30,-6.401,,20500000,19500000,,16500000,23500000,22500000,21500000,,,82,,70,100,95,90,3800000,4050000,,3250000,5700000,4900000,4450000,71500000,62000000,,58500000,97500000,83000000,74500000,2650000,2800000,,,,,
43,1137928,Company,Private,Active,No,No,2019,Buffalo,NY,US,14210,Specialty Finance,Loans,,522298,,12,31,1,4531100,100000000,2023,0,1.4928,5.2632,-19.5572,,115000000,115000000,115000000,110000000,235000000,225000000,215000000,,,,380,361,760,730,700,11000000,12500000,13500000,11500000,30000000,25500000,23500000,100000000,91500000,170000000,140000000,350000000,300000000,270000000,7850000,8750000,9300000,,,,
44,1138946,Company,Private,Active,No,No,2017,Raleigh,NC,US,27616,Commercial & Industrial Engineering,Construction|Engineering,,812990,,12,31,0,,28000000,2023,8.1081,-49.468,-89.3816,0,,40000000,37000000,33500000,310000000,30500000,32000000,29500000,,,,170,1601,160,170,160,2350000,2400000,2300000,19000000,2300000,2200000,1900000,28000000,23500000,36500000,290000000,33000000,31000000,27000000,1650000,1700000,1600000,,,,
45,1139106,Company,Private,Active,Yes,No,2018,Atlanta,GA,US,30309,Health Care Services,Compliance|Health Care|Health Care Services|Practice Management|Revenue Cycle Management,,621510,PE Backed,12,31,0,,75500000,2023,3.8462,4.0042,5.4795,8.0738,,135000000,130000000,125000000,120000000,105000000,97500000,,,,,770,730,650,610,,5300000,5700000,6600000,5700000,6100000,5100000,,75500000,66000000,97500000,80000000,82000000,67500000,,3700000,4000000,4600000,,,,
46,1139444,Company,Private,Active,No,No,2018,Riverside,CA,US,92509,Industrial Services,Aluminum|Design|ESOP|Fabrication|Industrial|Industrial Services|Manufacturing|Painting,,331310,Acquired|Subsidiary,12,31,0,,130000000,2023,11.1111,10.5126,6.383,-3.1271,,110000000,99000000,88000000,81500000,98500000,93000000,88000000,,,,500,470,575,550,528,9110475,7800000,10797600,8997600,13297500,11299500,10155200,130000000,90500000,175000000,135000000,195000000,160000000,145000000,6400000,5500000,7550000,,,,
47,1140015,Company,Private,Active,No,No,2017,Amarillo,TX,US,79118,Industrial Distributors,Distribution,,423800,,12,31,0,,160000000,2023,7.1429,6.2659,2.8571,5.1107,,150000000,140000000,130000000,125000000,120000000,105000000,93000000,,,,360,350,340,310,280,10800000,12000000,11850000,10250000,12000000,9470000,7970000,160000000,145000000,175000000,145000000,160000000,125000000,105000000,7550000,8400000,8300000,,,,
48,1140306,Company,Private,Active,No,No,2017,San Francisco,CA,US,94109,Health Care Services,Health Care|Health Care Services|Women-Founded|Women-led,,,Acquired|Subsidiary,12,31,3,22000000,225000000,2021,3.7736,30.0591,100,,,11000000,10600000,10000000,5000000,,,,,,,50,25,,,,,,,,,,,,,,,,,,,,,,,,
49,1142468,Company,Private,Active,No,No,2018,Tulsa,OK,US,74117,Industrial Products,Industrial Products|Manufacturing|Metals,,332721,,12,31,1,636100,35000000,2022,8.6142,17.2308,1.4286,5.7716,,29000000,26700000,23900000,18000000,11700000,11300000,11000000,,,,,71,70,65,60,,3250000,3100000,2100000,1650000,1450000,1350000,,35000000,44000000,28500000,21500000,18500000,17000000,,2250000,2150000,,,,
50,1142633,Company,Private,Active,No,No,2018,Wauconda,IL,US,60084,Commercial Products & Office Supplies,Computers|Manufacturing|Technology Hardware,,334118,,12,31,1,998325,19500000,2020,-29.8246,-6.541,-31.8519,-8.4759,,,,,20000000,28500000,27000000,24500000,,,,,92,135,130,120,,,,1800000,3100000,2650000,2300000,,,,19500000,32500000,27500000,23500000,,,,,,,
51,1143169,Company,Private,Active,No,No,2017,Willacoochee,GA,US,31650,Vehicle Manufacturers,Camping|Manufacturing|RVs,,336214,,12,31,1,1682254,71500000,2020,-10,2.2107,-10.625,0.7092,,,,,31500000,35000000,32000000,29500000,,,,,143,160,150,140,,,,1900000,2600000,2150000,1900000,,,,71500000,92500000,75000000,65500000,,,,,,,
52,1143350,Company,Private,Active,No,No,2017,Paterson,NJ,US,07503,Industrial Services,Commercial Services|Containers|Electronics|Environmental|Industrial|Industrial Services|Recycling|Residential Services,,562000,,12,31,0,,74000000,2023,8.6207,9.1104,5.2632,-3.1271,,63000000,58000000,51500000,48500000,59000000,54500000,49000000,,,,200,190,235,220,200,5200000,5350000,6300000,5350000,7950000,6600000,5650000,74000000,62000000,100000000,81500000,115000000,95000000,80500000,3650000,3750000,4400000,,,,
53,1145415,Company,Private,Active,No,No,2018,Zanesville,OH,US,43701,Food & Beverage Producers,Food|Snacks,,311919,,12,31,1,606500,38000000,2023,6.6667,7.1665,3.6585,-1.8872,,24000000,22500000,20500000,19500000,22500000,21000000,18000000,,,,85,82,95,90,80,3100000,3250000,3400000,2900000,4100000,3450000,2800000,38000000,32500000,42500000,34500000,46500000,39000000,31500000,2200000,2300000,2350000,,,,
54,1145833,Company,Private,Active,No,No,2018,Tustin,CA,US,92780,Home & Electronics Retail,Home|Lighting|Retail,,442299,,12,31,0,,22500000,2020,-10.6061,1.7547,-12.5,0,,,,,29500000,33000000,30500000,28000000,,,,,140,160,150,140,,,,1250000,1700000,1400000,1250000,,,,22500000,29000000,24000000,20500000,,,,,,,
55,1146500,Company,Private,Active,No,No,2018,Noblesville,IN,US,46060,Home & Electronics Retail,Furniture|Retail,,442110,,12,31,1,1087200,20000000,2023,8.1633,8.9341,5.4945,,,26500000,24500000,22000000,20500000,,,,,,,96,91,,,,1050000,1100000,1050000,870000,,,,20000000,16500000,19500000,15500000,,,,740000,760000,725000,,,,
56,1148647,Company,Private,Active,No,No,2018,Saint Paul,MN,US,55112,Professional Services,Engineering|Professional Services,,541330,,12,31,0,,31000000,2020,-11.9048,0,-13,-1.1237,,,,,18500000,21000000,20000000,18500000,,,,,87,100,95,90,,,,2050000,2850000,2450000,2150000,,,,31000000,41000000,35000000,30500000,,,,,,,
57,1148767,Company,Private,Active,No,No,2017,Minneapolis,MN,US,55441,Software & Internet Services,Industrial|Quality Assurance|Software|Technology|Workflow Management,,334500,,12,31,0,,170000000,2020,31.25,17.3344,29.4118,16.2603,,,,,21000000,16000000,15000000,13000000,,,,,110,85,80,70,,,,5500000,5100000,4300000,3550000,,,,170000000,150000000,125000000,105000000,,,,,,,
58,1149801,Company,Private,Active,No,No,2017,Omaha,NE,US,68107,Freight Transportation,Freight|Transportation|Trucks,,484121,,12,31,1,911500,18500000,2023,8,13.4307,11.7021,-13.0993,,27000000,25000000,21000000,18500000,32000000,30500000,28000000,,,,105,94,165,160,150,795000,820000,915000,725000,1550000,1300000,1150000,18500000,16000000,23000000,17000000,34500000,29500000,25500000,555000,570000,640000,,,,
59,1149866,Company,Private,Active,No,No,2018,Omaha,NE,US,68137,Commercial Products & Office Supplies,Commercial Products|Design|Furniture|Installation|Manufacturing,,337000,,12,31,0,,13000000,2022,6.9652,8.3554,5.0633,-2.6629,,21500000,20100000,18200000,16900000,21400000,22000000,19500000,,,,83,79,95,90,85,,1850000,1800000,1500000,2350000,2150000,1800000,,13000000,21000000,16500000,24500000,22500000,18500000,,1300000,1250000,,,,
60,1150126,Company,Private,Active,No,No,2017,Wichita,KS,US,67209,Automotive & Consumer Vehicle Retail,Dealership|Motorcycles,,441228,,12,31,1,1000000,21000000,2023,6.5574,9.1393,12.9032,1.6396,,32500000,30500000,28500000,25000000,28500000,27000000,,,,,105,93,105,100,,1700000,1800000,1750000,1400000,1950000,1650000,,21000000,18000000,21500000,16000000,21500000,18000000,,1200000,1250000,1250000,,,,
61,1150464,Company,Private,Active,No,No,2019,Hyattsville,MD,US,20781,Commercial & Industrial Engineering,Commercial Services|Construction,,236220,,12,31,0,,14500000,2023,7.6923,9.488,5.2632,4.5516,,21000000,19500000,17500000,16000000,16000000,14500000,12500000,,,,80,76,75,70,60,1200000,1350000,1200000,990000,1200000,990000,810000,14500000,13500000,19000000,15000000,17500000,14000000,11500000,855000,950000,845000,,,,
62,1150522,Company,Private,Active,No,No,2017,Mount Laurel,NJ,US,08054,Health Care Services,Compliance|Emergency Services|Health Care|Health Care Services|Inspection|Workers' Compensation,,541990,Acquired|Subsidiary,12,31,0,,22000000,2022,4.8387,4.5625,2.8302,6.5928,,45500000,43400000,40800000,39800000,35400000,25000000,24000000,,,,545,530,470,450,,,1900000,2150000,1900000,2050000,1300000,1200000,,22000000,32000000,26500000,27500000,17500000,15500000,,1350000,1500000,,,,
63,1150891,Company,Private,Active,No,No,2019,McLean,VA,US,22102,Technology Services,Consulting|Data Management|Design|Information Management|Performance Management|Project Management|Software|Software Development|Systems Integration|Technology|Technology Services|Women-led,36|7372,,,12,31,0,,510000000,2022,15.9209,60.0099,3.2419,40.9006,,,105000000,90579000,47897866,25630000,28000000,21540722,,,414,401,290,148,170,146,,27000000,25000000,12000000,7750000,7600000,5550000,,510000000,640000000,290000000,180000000,175000000,130000000,,19000000,17500000,,,,
64,1152481,Company,Private,Active,No,No,2017,Irvington,AL,US,36544,Agricultural Products,Agricultural|Agricultural Products|Fruit & Vegetables,,111400,,12,31,0,,8200000,2020,6.8571,8.3531,5.7143,7.2408,,,,,9350000,8750000,8050000,7350000,,,,,74,70,65,60,,,,670000,765000,635000,550000,,,,8200000,8900000,7300000,6300000,,,,,,,
65,1152925,Company,Private,Active,Yes,No,2018,Monticello,AR,US,71655,Chemicals & Plastics,Manufacturing|Packaging,2821|3499|3999,,Acquired|PE Backed,12,31,0,,47500000,2023,6.8493,4.6796,0,5.984,,39000000,36500000,36000000,34000000,29000000,27000000,24000000,,,125,125,120,105,100,90,3300000,3400000,3600000,3050000,3200000,2650000,2250000,47500000,40500000,54000000,43600000,43300000,35950000,30050000,2300000,2400000,2500000,,,,
66,1154541,Company,Private,Active,No,No,2017,Missoula,MT,US,59801,Utilities,Commercial Services|Excavation|Location Services|Outsourcing|Utilities,,561900,Acquired|Subsidiary,12,31,0,,205000000,2020,4.2105,4.0042,4,4.1714,,,,,49500000,47500000,45500000,44000000,,,,,260,250,240,230,,,,15000000,17500000,15000000,14000000,,,,205000000,225000000,195000000,175000000,,,,,,,
67,1155147,Company,Private,Active,No,No,2022,Orem,UT,US,84057,Specialized Consumer Services,Automotive|Paint|Repair & Maintenance,,811121,,12,31,1,1268480,25500000,2020,-36.1702,-8.374,-36.1111,-8.4759,,,,,15000000,23500000,22000000,19500000,,,,,115,180,170,150,,,,1650000,3150000,2650000,2250000,,,,25500000,46000000,38500000,32000000,,,,,,,
