,PrivCo_ID,profile_type,classification,status,PE_Backed,VC_Backed,year_founded,City,State,Country,Zip,Industry_PICS,Keywords,sic,naics,Company_Tags,fiscal_month,fiscal_day,Total_Round,index_total_funding,Latest_Valuation,Latest_Valuation_Year,1 Year Revenue Growth,3 Year Revenue Growth,1 Year Employee Growth,3 Year Employee Growth,2024 Revenue,2023 Revenue,2022 Revenue,2021 Revenue,2020 Revenue,2019 Revenue,2018 Revenue,2017 Revenue,2024 Employees,2023 Employees,2022 Employees,2021 Employees,2020 Employees,2019 Employees,2018 Employees,2017 Employees,2023 EBITDA,2022 EBITDA,2021 EBITDA,2020 EBITDA,2019 EBITDA,2018 EBITDA,2017 EBITDA,2023 EV,2022 EV,2021 EV,2020 EV,2019 EV,2018 EV,2017 EV,2023 Net Income,2022 Net Income,2021 Net Income,2020 Net Income,2019 Net Income,2018 Net Income,2017 Net Income
1510,1891995,Company,Private,Active,No,No,2018,Irvine,CA,US,,Technology Services,Artificial Intelligence|Devices|Internet of Things|Mobile|Quantum Computing|Software|Technology Hardware|Telecommunications|Wireless,,,,12,31,0,,7250000,2023,,,,,,1350000,,,,,,,,6,,,,,,,315000,,,,,,,7250000,,,,,,,220000,,,,,,
1511,1891997,Company,Private,Active,No,No,2017,Danville,CA,US,94506,Insurance Underwriting,Business-to-Business|Education|Insurtech|Women-Founded|Women-led,,,,12,31,0,,3100000,2023,,,,,,2300000,,,,,,,,6,,,,,,,310000,,,,,,,3100000,,,,,,,215000,,,,,,
1512,1892096,Company,Private,Active,No,No,2018,Franklin,TN,US,37067,Software & Internet Services,SaaS|Software,,,,12,31,0,,65500000,2023,0.5181,,-1.9231,,,9700000,9650000,,,,,,,51,52,,,,,,2400000,2650000,,,,,,65500000,59500000,,,,,,1650000,1850000,,,,,
1513,1892129,Company,Private,Active,No,No,2017,New York,NY,US,,Technology Services,Consulting|Information Technology|Legal|Software,,,,12,31,0,,2700000,2023,,,,,,500000,,,,,,,,2,,,,,,,115000,,,,,,,2700000,,,,,,,81000,,,,,,
1514,1892158,Company,Private,Active,No,No,2017,New York,NY,US,,Consulting,Information Technology|Innovation Management|Product Design|Project Management|Software,,,,12,31,0,,2550000,2023,,,,,,1250000,,,,,,,,6,,,,,,,130000,,,,,,,2550000,,,,,,,91000,,,,,,
1515,1892197,Company,Private,Active,No,No,2018,New York,NY,US,10016,"Apparel, Footwear & Accessories",Consumer Products|Fashion|Industrial Manufacturing|Manufacturing,,,,12,31,0,,11000000,2023,11.8519,,,,,7550000,6750000,5500000,,,,,,,,22,,,,,530000,525000,455000,,,,,11000000,8800000,9750000,,,,,370000,370000,320000,,,,
1516,1892218,Company,Private,Active,No,No,2019,San Diego,CA,US,,Advertising & Marketing,Advertising|Marketing,,,,12,31,0,,1750000,2023,,,,,,1500000,,,,,,,,6,,,,,,,155000,,,,,,,1750000,,,,,,,110000,,,,,,
1517,1892266,Company,Private,Active,No,No,2019,Palo Alto,CA,US,94301,Software & Internet Services,Artificial Intelligence|Computer Vision|Information Technology|Natural Language Processing (NLP),,,,12,31,0,,290000000,2023,-66.9231,,-68.0851,,,43000000,130000000,,,,,,,180,564,,,,,,10500000,35500000,,,,,,290000000,800000000,,,,,,7400000,25000000,,,,,
1518,1892505,Company,Private,Active,No,No,2018,Clemson,SC,US,,Software & Internet Services,Geospatial|Software|Wireless,,,,12,31,0,,18500000,2023,,,,,,2700000,,,,,,,,16,,,,,,,660000,,,,,,,18500000,,,,,,,465000,,,,,,
1519,1892507,Company,Private,Active,No,No,2018,San Diego,CA,US,,Investment Management & Financial Advisory,Blockchain|E-Commerce|Payments,,,,12,31,0,,2500000,2023,,,,,,1250000,,,,,,,,5,,,,,,,135000,,,,,,,2500000,,,,,,,95000,,,,,,
1520,1892714,Company,Private,Active,No,No,2017,Playa Vista,CA,US,,Advertising & Marketing,Cannabis|Content|Content Management|Marketing|Publishing,,,,12,31,0,,2550000,2023,,,,,,2200000,,,,,,,,9,,,,,,,230000,,,,,,,2550000,,,,,,,160000,,,,,,
1521,1892760,Company,Private,Active,No,No,2019,San Francisco,CA,US,,Software & Internet Services,Apps|Privacy|Security,,,,12,31,0,,28000000,2023,,,,,,4150000,,,,,,,,18,,,,,,,1000000,,,,,,,28000000,,,,,,,710000,,,,,,
1522,1892794,Company,Private,Active,No,No,2018,San Francisco,CA,US,,Software & Internet Services,Apps|Mobile,,,,12,31,0,,9450000,2023,,,,,,1400000,,,,,,,,6,,,,,,,345000,,,,,,,9450000,,,,,,,240000,,,,,,
1523,1892827,Company,Private,Active,No,No,2018,New York,NY,US,,Specialized Consumer Services,Fitness|Health Care,,,,12,31,0,,,,,,,,,370000,,,,,,,,2,,,,,,,38500,,,,,,,570000,,,,,,,27000,,,,,,
1524,1892861,Company,Private,Active,No,No,2019,Austin,TX,US,78741,Technology Services,Advertising|Content|Discovery|Entertainment|Government|Information Technology|Media|SaaS|Smart Cities|Social Media|Software,,,,12,31,0,,7250000,2023,,,,,,1350000,,,,,,,,6,,,,,,,315000,,,,,,,7250000,,,,,,,220000,,,,,,
1525,1892962,Company,Private,Active,No,No,2017,San Francisco,CA,US,,Software & Internet Services,Community|Sports|Women-Founded,,,,12,31,0,,9450000,2023,,,,,,1400000,,,,,,,,6,,,,,,,345000,,,,,,,9450000,,,,,,,240000,,,,,,
1526,1893001,Company,Private,Active,No,No,2019,San Francisco,CA,US,,Biotechnology,Biotechnology|Health Care|Life Sciences|Pet|Women-Founded|Women-led,,,,12,31,0,,20500000,2023,,,,,,14000000,,,,,,,,51,,,,,,,2000000,,,,,,,20500000,,,,,,,1400000,,,,,,
1527,1893240,Company,Private,Active,No,No,2017,Sandy,UT,US,,Software & Internet Services,E-Learning|Education|Training,,,,12,31,0,,12000000,2023,,,,,,1800000,,,,,,,,10,,,,,,,440000,,,,,,,12000000,,,,,,,310000,,,,,,
