,Data Export - All Companies with Recorded Fundraising,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset Additions,,,,,,,,,,,,,,,,CrunchBase Funding Rounds by Quarter,,,,,,CrunchBase Funding Total by Quarter,,,,,,Top Investors by Rounds 2014 YTD,,,Top Regions by Rounds 2014 YTD,,,Top Regions by Investment 2014 YTD,,,Top Categories by Rounds 2014 YTD,,,Top Categories by Investment 2014 YTD,,,Top Countries by Rounds 2014 YTD,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
year_str,(Multiple Items),,,,,,,,,,,,,,,funded_year,(Multiple Items),,,,,funded_year,(Multiple Items),,,,,funded_year,2014,,funded_year,2014,,funded_year,2014,,funded_year,2014,,funded_year,2014,,funded_year,2014,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,funding_round_type,(All),,funding_round_type,(Multiple Items),,funding_round_type,(Multiple Items),,funding_round_type,(Multiple Items),,funding_round_type,(Multiple Items),,funding_round_type,(Multiple Items),,
Sum of value,Column Labels,,,,,,,,,,,,,,,Count of funded_at,Column Labels,,,,,Sum of raised_amount_usd,Column Labels,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,,,Row Labels,angel,venture,seed,private_equity,,Row Labels,angel,venture,seed,private_equity,,Count of funded_at,,,Count of funded_at,,,Sum of raised_amount_usd,,,Count of funded_at,,,Sum of raised_amount_usd,,,Count of funded_at,,,
Sum of value,Column Labels,,,,,,,,,,,,,,,2013-Q2,187,"1,339","1,391",198,,2013-Q2,122 MM,10232 MM,643 MM,5373 MM,,VegasTechFund, 49 ,,Newark, 82 ,,Philadelphia," $459,808,118 ",,Marketplaces,104,,Games," $656,106,509 ",,Bulgaria,32,,
Row Labels,Rounds,Profiles,Total Rounds,Total Entities,,,,,,,,,,,,2013-Q3,200,"1,307","1,657",203,,2013-Q3,112 MM,11033 MM,874 MM,8791 MM,,,,,,,,,,,,,,,,,,,,
2007-Q2, 65 , 340 , 65 , 340 ,,,,,,,,,,,,2013-Q4,204,"1,582","1,326",125,,2013-Q4,95 MM,14482 MM,784 MM,7181 MM,,,,,,,,,,,,,,,,,,,,
2007-Q3, 522 ," 3,020 ", 587 ," 3,360 ",,,,,,,,,,,,2014-Q1,243,"1,848","1,434",102,,2014-Q1,162 MM,17510 MM,643 MM,5422 MM,,,,,,,,,,,,,,,,,,,,
2007-Q4, 428 ," 2,362 "," 1,015 "," 5,722 ",,,,,,,,,,,,2014-Q2,164,"1,904","1,169",82,,2014-Q2,115 MM,22100 MM,671 MM,6510 MM,,,,,,,,,,,,,,,,,,,,
2008-Q1, 670 ," 6,443 "," 1,685 "," 12,165 ",,,,,,,,,,,,2014-Q3,155,"1,704","1,268",73,,2014-Q3,74 MM,19123 MM,743 MM,12220 MM,,,,,,,,,,,,,,,,,,,,
2008-Q2, 777 ," 8,587 "," 2,462 "," 20,752 ",,,,,,,,,,,,2014-Q4,69,"1,110",555,53,,2014-Q4,62 MM,14338 MM,557 MM,3586 MM,,,,,,,,,,,,,,,,,,,,
2008-Q3, 647 ," 7,930 "," 3,109 "," 28,682 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-Q4, 699 ," 12,015 "," 3,808 "," 40,697 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-Q1, 989 ," 9,799 "," 4,797 "," 50,496 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
